Employee Name;Date;Work Hours
Jerrod Tate;Jun 29 2020;05.фев
Bianca Wright;Jun 29 2020;05.апр
Wayne Payne;Jun 29 2020;06.май
Drew Hudson;Jun 29 2020;7
Archie Klein;Jun 29 2020;7
Rosella Dunlap;Jun 29 2020;07.сен
Latonya Small;Jun 29 2020;8
Ezekiel Harrington;Jun 29 2020;8
Viola Hayes;Jun 29 2020;8
Lawerence Proctor;Jun 29 2020;8
Myrna Johns;Jun 29 2020;8
Barbra Pearson;Jun 29 2020;8
Ola Potts;Jun 29 2020;8
Joan Sutton;Jun 29 2020;8
Antonia Sandoval;Jun 29 2020;8
Celia Cantrell;Jun 29 2020;8
Lonnie Perez;Jun 29 2020;8
Marquita Young;Jun 29 2020;8
Imelda Norris;Jun 29 2020;8
Houston Mccormick;Jun 29 2020;8
Jami Keller;Jun 29 2020;8
Duane Crawford;Jun 29 2020;8
Luella Hodges;Jun 29 2020;8
Guadalupe Murray;Jun 29 2020;8
Stella Mccall;Jun 29 2020;8
Flossie Sosa;Jun 29 2020;8
Timmy Bender;Jun 29 2020;8
Giuseppe Simon;Jun 29 2020;8
Claudio Le;Jun 29 2020;8
Sterling Lutz;Jun 29 2020;8
Ross Hendrix;Jun 29 2020;8
Alva Singleton;Jun 29 2020;8
Carmen Wade;Jun 29 2020;8
Lelia Brooks;Jun 29 2020;8
Bettie Parks;Jun 29 2020;8
King Sanders;Jun 29 2020;8
Conrad Jackson;Jun 29 2020;8
Jennifer Larsen;Jun 29 2020;8
Sheri Zuniga;Jun 29 2020;8
Rodolfo Combs;Jun 29 2020;8
Bryant Hammond;Jun 29 2020;8
Isaac Nelson;Jun 29 2020;8
Heath Mcdaniel;Jun 29 2020;8
Randal Melendez;Jun 29 2020;8
Luann Cooper;Jun 29 2020;8
Jerrod Tate;Jun 30 2020;5
Heath Mcdaniel;Jun 30 2020;6
Ezekiel Harrington;Jun 30 2020;06.апр
Fannie Lara;Jun 30 2020;06.апр
Lawerence Proctor;Jun 30 2020;06.апр
Barbra Pearson;Jun 30 2020;06.апр
Antonia Sandoval;Jun 30 2020;06.апр
Celia Cantrell;Jun 30 2020;06.апр
Imelda Norris;Jun 30 2020;06.апр
Houston Mccormick;Jun 30 2020;06.апр
Guadalupe Murray;Jun 30 2020;06.апр
Flossie Sosa;Jun 30 2020;06.апр
Sterling Lutz;Jun 30 2020;06.апр
Carmen Wade;Jun 30 2020;06.апр
Latonya Small;Jun 30 2020;7
Drew Hudson;Jun 30 2020;7
Isaac Nelson;Jun 30 2020;7
Wayne Payne;Jun 30 2020;8
Viola Hayes;Jun 30 2020;8
Myrna Johns;Jun 30 2020;8
Ola Potts;Jun 30 2020;8
Joan Sutton;Jun 30 2020;8
Lonnie Perez;Jun 30 2020;8
Marquita Young;Jun 30 2020;8
Jami Keller;Jun 30 2020;8
Duane Crawford;Jun 30 2020;8
Luella Hodges;Jun 30 2020;8
Stella Mccall;Jun 30 2020;8
Timmy Bender;Jun 30 2020;8
Giuseppe Simon;Jun 30 2020;8
Claudio Le;Jun 30 2020;8
Ross Hendrix;Jun 30 2020;8
Alva Singleton;Jun 30 2020;8
Lelia Brooks;Jun 30 2020;8
Bettie Parks;Jun 30 2020;8
King Sanders;Jun 30 2020;8
Conrad Jackson;Jun 30 2020;8
Jennifer Larsen;Jun 30 2020;8
Sheri Zuniga;Jun 30 2020;8
Rodolfo Combs;Jun 30 2020;8
Bryant Hammond;Jun 30 2020;8
Randal Melendez;Jun 30 2020;8
Luann Cooper;Jun 30 2020;8
Bianca Wright;Jun 30 2020;08.фев
Rosella Dunlap;Jun 30 2020;08.авг
Katherine Robinson;Jul 01 2020;1
Jerrod Tate;Jul 01 2020;05.янв
Jamaal Dawson;Jul 01 2020;05.янв
Mikel Swanson;Jul 01 2020;05.янв
Adan Cain;Jul 01 2020;05.янв
Archie Klein;Jul 01 2020;06.фев
Latonya Small;Jul 01 2020;7
Drew Hudson;Jul 01 2020;7
Isaac Nelson;Jul 01 2020;7
Heath Mcdaniel;Jul 01 2020;7
Ezekiel Harrington;Jul 01 2020;07.июл
Fannie Lara;Jul 01 2020;8
Viola Hayes;Jul 01 2020;8
Lawerence Proctor;Jul 01 2020;8
Myrna Johns;Jul 01 2020;8
Barbra Pearson;Jul 01 2020;8
Ola Potts;Jul 01 2020;8
